title,genres,release_year,user_rating,keywords,director,description,poster_url,trailer_url,adult
30 Minutes or Less,"Action, Adventure, Comedy",2011,5.772,"pizza boy, pizza delivery, aftercreditsstinger",Ruben Fleischer,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",https://image.tmdb.org/t/p/w500/gkCO4bf8kDxF4wsUOMzhYk3Pgz2.jpg,https://www.youtube.com/watch?v=_o8u4pIf3Hs,0
Redline,"Animation, Action, Science Fiction",2010,7.511,"fight, mafia, tournament, crying, creature, daredevil, race, adult animation, anime",Takeshi Koike,"The most dangerous and exciting car race in the universe is held only once every five years. And that's tonight. The competitors are lined up at the starting block. In his vehicle, JP, the most daredevil driver on the circuit, is ready for the green light. Female driver Sonoshee, with whom he is secretly in love, is also on the starting line. She will stop at nothing to get on to that podium. In this race, not only is anything possible, but also anything is allowed. In fact, their adversaries have modified their vehicles to equip them with highly destructive weapons; with such participants, it is hardly surprising that Redline is forbidden by the authorities, who will try anything to halt the proceedings.",https://image.tmdb.org/t/p/w500/yUkH0y9OsY7J08Dvfzi1P0di559.jpg,https://www.youtube.com/watch?v=R2H_FsmxWzc,1
The Smurfs 2,"Fantasy, Family, Comedy, Animation",2013,5.8,based on cartoon,Raja Gosnell,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?",https://image.tmdb.org/t/p/w500/tmjvgbEH4BKYFfHmWXjXrHgi8wT.jpg,https://www.youtube.com/watch?v=W-yEIIMtwCA,0
Up,"Animation, Comedy, Family, Adventure",2009,7.959,"central and south america, age difference, villain, balloon, travel, dog, duringcreditsstinger, pets, exploring, senior, sentimental",Pete Docter,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",https://image.tmdb.org/t/p/w500/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg,https://www.youtube.com/watch?v=AkdXuDAP2Ts,0
Die Hard: With a Vengeance,"Action, Thriller",1995,7.271,"new york city, taxi, gold, helicopter, robbery, police, bomb, riddle, detective, fbi, sequel, flashback, revenge, shootout, explosion, nypd, cargo ship, wild goose chase, simon says, dump truck, harlem, new york city, aqueduct, bomb threat, action hero, deadly game, federal reserve bank, nyc subway",John McTiernan,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",https://image.tmdb.org/t/p/w500/skdHpVja0uRNKVVN9ksviI86I4z.jpg,https://www.youtube.com/watch?v=aRQetHOPpKA,0
Dances with Wolves,"Adventure, Drama, Western",1990,7.849,"friendship, mutiny, countryside, based on novel or book, unsociability, wolf, culture clash, self-discovery, freedom, desertion, language barrier, dakota, buffalo, native american, kansas, usa, sioux, tennessee, snow, pawnee tribe, 19th century, lakota, bison, early america",Kevin Costner,"Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",https://image.tmdb.org/t/p/w500/cvaBVpS0GzKqBd63pFT8f1E8OKv.jpg,https://www.youtube.com/watch?v=N4gr-uXUg1M,0
The Road,"Adventure, Drama",2009,7.008,"based on novel or book, dystopia, post-apocalyptic future, paternity, abandoned house, survival, on the road, duringcreditsstinger, starvation, bomb shelter, father son relationship, cannibalism",John Hillcoat,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind and water. It is cold enough to crack stones, and, when the snow falls it is gray. The sky is dark. Their destination is the warmer south, although they don't know what, if anything, awaits them there.",https://image.tmdb.org/t/p/w500/qLaXnLzqleBWQtjvZ6JGVSaKoC3.jpg,https://www.youtube.com/watch?v=bO8EqMsxOiU,0
Tom & Jerry,"Comedy, Family, Animation",2021,6.8,"aftercreditsstinger, live action and animation",Tim Story,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",https://image.tmdb.org/t/p/w500/8XZI9QZ7Pm3fVkigWJPbrXCMzjq.jpg,https://www.youtube.com/watch?v=kP9TfCWaQT4,0
Baghead,Horror,2023,6.6,"witch, basement, female protagonist, dead father, communicating with the dead, pub",Alberto Corredor,"Following the death of her estranged father, Iris learns she has inherited a run-down, centuries-old pub. She travels to Berlin to identify her father’s body and meet with The Solicitor to discuss the estate. Little does she know, when the deed is signed she will become inextricably tied to an unspeakable entity that resides in the pub’s basement – Baghead – a shape-shifting creature that can transform into the dead.",https://image.tmdb.org/t/p/w500/lbOyeiiRYAE6Nm2e7xiNAAaRwZB.jpg,https://www.youtube.com/watch?v=XOsZq_5s-ak,0
Atlas,"Science Fiction, Action",2024,6.807,"mission, artificial intelligence (a.i.), exploration, attack, soldier, battle, military, amused",Brad Peyton,A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.,https://image.tmdb.org/t/p/w500/bcM2Tl5HlsvPBnL8DKP9Ie6vU4r.jpg,https://www.youtube.com/watch?v=Jokpt_LJpbw,0
Sing,"Animation, Comedy, Family, Music",2016,7.1,"anthropomorphism, singing, flood, singing competition, illumination, brisk",Garth Jennings,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,https://image.tmdb.org/t/p/w500/zZTlF2eVVUkbdmccd3bNUU9T9sD.jpg,https://www.youtube.com/watch?v=GIgXWuLQPFY,0
New Town Mothers,Romance,2024,0.0,softcore,Jeong Do-soo,"Four gorgeously dressed women living in different newly wealthy cities entered a pension and gathered at one appointment, showing off their missy looks.",https://image.tmdb.org/t/p/w500/qOf14UlxWSQajrbyge9EmP1G26o.jpg,,1
Inferno,"Action, Drama, Romance",1999,6.1,"prison, small town, sword, hostage, hostility, drifter, witty",John G. Avildsen,"Eddie Lomax is a drifter who has been in a suicidal funk since the death of his close friend Johnny. Riding his motorcycle into a small desert town where Johnny once lived, Lomax is confronted by a gang of toughs, who beat him and steal his bike. However, Lomax is not a man to take an injustice lying down, and soon he begins exacting a violent revenge on the men who stole his motorcycle, with local handyman Jubal Early lending a hand and several area ladies offering aid and comfort.",https://image.tmdb.org/t/p/w500/n5C3PSYfjpUqBhyVWEWJQmM3Sr9.jpg,https://www.youtube.com/watch?v=mIeJ3ogJAlQ,0
The Black Dahlia,"Crime, Thriller, Drama",2006,5.6,"pornography, observer, los angeles, california, neo-noir, murder hunt",Brian De Palma,"In 1940s Los Angeles, two former boxers-turned-cops must grapple with corruption, narcissism, stag films and family madness as they pursue the killer of an aspiring young actress.",https://image.tmdb.org/t/p/w500/bErqP8tuJ24qMPoxKhRe1S9JmUL.jpg,https://www.youtube.com/watch?v=4UK1B0nSi94,1
Belle épine,Drama,2010,5.5,woman director,Rebecca Zlotowski,"After the death of her mother, 17-year-old Prudence finds herself living alone in her Paris apartment. Then she meets Maryline, a rebel of her own age, who introduces her to the thrills of motorcycle racing on the biker circuit at Rungis. Prudence’s newfound lease of freedom becomes complicated when she falls for a boy Franck who wastes no time in taking advantage of her naivety...",https://image.tmdb.org/t/p/w500/iMA5u7qfQbauCkJwzqZtcgGu6TO.jpg,https://www.youtube.com/watch?v=pgUvwbBADiI,0
Tuhog,"Drama, Romance",2023,7.0,,G.B. Sampedro,"Abie mourns after the death of Michael. She finds solace from her supposedly soon-to-be father-in-law, Roldan, and starts falling for him. But when Michael returns, their world turns upside down.",https://image.tmdb.org/t/p/w500/1JFMtEk1GRLoCegrcwxkK2XfHcK.jpg,https://www.youtube.com/watch?v=VvmSxnmFxv0,0
